#Riproducibilità
#KvP	mA	mS	uGy	Sigma uGy
40	200	100	20.61	5.7708
40	200	100	20.75	5.81
40	200	100	20.75	5.81
40	200	100	20.87	5.8436
40	200	100	20.84	508352
60	200	100	64.8	18.144
60	200	100	65.1	18.228
60	200	100	65	  18.2
60	200	100	65.1	18.228
60	200	100	65.1	18.228
80	200	100	113.2	31.696
80	200	100	113.4	31.752
80	200	100	113.6	31.808
80	200	100	113.8	31.864
80	200	100	113.4	31.752
100	200	100	300.4	84.112
100	200	100	234.4	65.632
100	200	100	172.5	48.3
100	200	100	172.1	48.188
100	200	100	172.7	48.356
100	200	100	172.5	48.3
100	200	100	172.5	48.3
